"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"1",0.004,0.385,228360,0.866,0,0.111,-2.817,0,0.0697,176.014,0.551,4,4,"0"
"2",0.329,0.255,218507,0.085,6.83e-05,0.201,-17.969,0,0.0359,94.26,0.109,9,4,"0"
"3",0.0372,0.822,284387,0.734,0,0.325,-5.48,1,0.0738,97.998,0.425,1,4,"0"
"4",0.205,0.87,251989,0.464,0,0.0902,-8.337,1,0.178,112.974,0.457,4,4,"0"
"5",0.0128,0.747,213507,0.705,0,0.126,-5.137,0,0.126,136.024,0.56,9,4,"0"
"6",0.0691,0.683,307906,0.684,0,0.124,-4.522,0,0.0643,140.373,0.905,11,4,"0"
"7",0.013,0.888,200080,0.483,4.85e-06,0.0926,-7.797,1,0.154,125.008,0.226,6,4,"0"
"8",0.215,0.77,321987,0.664,0.000118,0.105,-5.604,1,0.211,140.163,0.472,0,4,"0"
"9",0.0539,0.554,153657,0.613,0.000354,0.208,-8.071,1,0.127,95.134,0.247,0,4,"0"
"10",0.00124,0.454,202067,0.708,0.000181,0.0679,-4.526,0,0.0675,192.18,0.483,10,4,"0"
"11",0.0363,0.386,181573,0.587,3.71e-06,0.332,-4.454,1,0.0519,96.072,0.0565,10,4,"0"
"12",0.594,0.664,196280,0.491,0,0.11,-6.544,1,0.042,127.97,0.24,9,4,"0"
"13",0.0117,0.421,257200,0.791,1.48e-05,0.146,-4.998,1,0.0496,130.075,0.499,9,4,"0"
"14",0.431,0.484,204280,0.731,0,0.151,-6.694,1,0.0379,101.654,0.51,1,4,"0"
"15",0.0728,0.596,234547,0.85,0,0.26,-5.402,1,0.0452,119.985,0.386,9,4,"0"
"16",0.031,0.51,210013,0.747,0,0.233,-4.124,1,0.0651,125.951,0.347,5,4,"0"
"17",0.24,0.254,252534,0.617,0,0.125,-6.612,0,0.0537,189.425,0.255,5,4,"0"
"18",0.0137,0.49,198733,0.798,0,0.0627,-3.66,1,0.0489,149.109,0.479,6,4,"0"
"19",0.000704,0.657,190186,0.827,0.00534,0.065,-4.036,1,0.0734,145.889,0.69,5,4,"0"
"20",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"0"
"21",0.0243,0.451,238173,0.893,0,0.0813,-2.721,1,0.0627,139.763,0.0971,7,4,"0"
"22",0.859,0.672,226600,0.52,0,0.115,-7.747,1,0.0353,120.001,0.37,8,4,"0"
"23",0.623,0.752,233280,0.543,0.0706,0.107,-9.483,1,0.0398,126.001,0.282,1,4,"0"
"24",0.0538,0.584,262280,0.672,0.0481,0.0885,-8.309,1,0.0294,144,0.556,1,4,"0"
"25",0.0219,0.76,189399,0.886,7.43e-06,0.623,-5.356,0,0.0258,123.002,0.78,9,4,"0"
"26",0.0189,0.717,205000,0.796,8.94e-05,0.19,-3.677,1,0.0303,105.017,0.942,6,4,"0"
